"country","year","indicator","value","source"
"United States",2010,"Liberal Democracy",0.85,"V-Dem"
"United States",2010,"Polarization",0.862,"V-Dem"
"United States",2011,"Liberal Democracy",0.848,"V-Dem"
"United States",2011,"Polarization",0.86,"V-Dem"
"United States",2012,"Liberal Democracy",0.847,"V-Dem"
"United States",2012,"Polarization",0.859,"V-Dem"
"United States",2013,"Liberal Democracy",0.85,"V-Dem"
"United States",2013,"Polarization",0.862,"V-Dem"
"United States",2014,"Liberal Democracy",0.847,"V-Dem"
"United States",2014,"Polarization",0.858,"V-Dem"
"United States",2015,"Liberal Democracy",0.848,"V-Dem"
"United States",2015,"Polarization",0.853,"V-Dem"
"United States",2016,"Liberal Democracy",0.832,"V-Dem"
"United States",2016,"Polarization",0.813,"V-Dem"
"United States",2017,"Liberal Democracy",0.745,"V-Dem"
"United States",2017,"Polarization",0.63,"V-Dem"
"United States",2018,"Liberal Democracy",0.742,"V-Dem"
"United States",2018,"Polarization",0.629,"V-Dem"
"United States",2019,"Liberal Democracy",0.735,"V-Dem"
"United States",2019,"Polarization",0.616,"V-Dem"
"United States",2020,"Liberal Democracy",0.725,"V-Dem"
"United States",2020,"Polarization",0.593,"V-Dem"
"United States",2021,"Liberal Democracy",0.752,"V-Dem"
"United States",2021,"Polarization",0.708,"V-Dem"
"United States",2022,"Liberal Democracy",0.763,"V-Dem"
"United States",2022,"Polarization",0.718,"V-Dem"
"United States",2023,"Liberal Democracy",0.771,"V-Dem"
"United States",2023,"Polarization",0.72,"V-Dem"
"United States",2024,"Liberal Democracy",0.748,"V-Dem"
"United States",2024,"Polarization",0.739,"V-Dem"
"United Kingdom",2010,"Liberal Democracy",0.803,"V-Dem"
"United Kingdom",2010,"Polarization",0.748,"V-Dem"
"United Kingdom",2011,"Liberal Democracy",0.803,"V-Dem"
"United Kingdom",2011,"Polarization",0.748,"V-Dem"
"United Kingdom",2012,"Liberal Democracy",0.804,"V-Dem"
"United Kingdom",2012,"Polarization",0.749,"V-Dem"
"United Kingdom",2013,"Liberal Democracy",0.799,"V-Dem"
"United Kingdom",2013,"Polarization",0.74,"V-Dem"
"United Kingdom",2014,"Liberal Democracy",0.8,"V-Dem"
"United Kingdom",2014,"Polarization",0.739,"V-Dem"
"United Kingdom",2015,"Liberal Democracy",0.791,"V-Dem"
"United Kingdom",2015,"Polarization",0.733,"V-Dem"
"United Kingdom",2016,"Liberal Democracy",0.788,"V-Dem"
"United Kingdom",2016,"Polarization",0.73,"V-Dem"
"United Kingdom",2017,"Liberal Democracy",0.804,"V-Dem"
"United Kingdom",2017,"Polarization",0.741,"V-Dem"
"United Kingdom",2018,"Liberal Democracy",0.809,"V-Dem"
"United Kingdom",2018,"Polarization",0.751,"V-Dem"
"United Kingdom",2019,"Liberal Democracy",0.787,"V-Dem"
"United Kingdom",2019,"Polarization",0.719,"V-Dem"
"United Kingdom",2020,"Liberal Democracy",0.8,"V-Dem"
"United Kingdom",2020,"Polarization",0.748,"V-Dem"
"United Kingdom",2021,"Liberal Democracy",0.782,"V-Dem"
"United Kingdom",2021,"Polarization",0.764,"V-Dem"
"United Kingdom",2022,"Liberal Democracy",0.766,"V-Dem"
"United Kingdom",2022,"Polarization",0.735,"V-Dem"
"United Kingdom",2023,"Liberal Democracy",0.768,"V-Dem"
"United Kingdom",2023,"Polarization",0.725,"V-Dem"
"United Kingdom",2024,"Liberal Democracy",0.752,"V-Dem"
"United Kingdom",2024,"Polarization",0.723,"V-Dem"
"Bosnia and Herzegovina",2010,"Liberal Democracy",0.378,"V-Dem"
"Bosnia and Herzegovina",2010,"Polarization",0.416,"V-Dem"
"Bosnia and Herzegovina",2011,"Liberal Democracy",0.381,"V-Dem"
"Bosnia and Herzegovina",2011,"Polarization",0.416,"V-Dem"
"Bosnia and Herzegovina",2012,"Liberal Democracy",0.38,"V-Dem"
"Bosnia and Herzegovina",2012,"Polarization",0.418,"V-Dem"
"Bosnia and Herzegovina",2013,"Liberal Democracy",0.376,"V-Dem"
"Bosnia and Herzegovina",2013,"Polarization",0.403,"V-Dem"
"Bosnia and Herzegovina",2014,"Liberal Democracy",0.375,"V-Dem"
"Bosnia and Herzegovina",2014,"Polarization",0.397,"V-Dem"
"Bosnia and Herzegovina",2015,"Liberal Democracy",0.369,"V-Dem"
"Bosnia and Herzegovina",2015,"Polarization",0.345,"V-Dem"
"Bosnia and Herzegovina",2016,"Liberal Democracy",0.364,"V-Dem"
"Bosnia and Herzegovina",2016,"Polarization",0.362,"V-Dem"
"Bosnia and Herzegovina",2017,"Liberal Democracy",0.364,"V-Dem"
"Bosnia and Herzegovina",2017,"Polarization",0.369,"V-Dem"
"Bosnia and Herzegovina",2018,"Liberal Democracy",0.347,"V-Dem"
"Bosnia and Herzegovina",2018,"Polarization",0.343,"V-Dem"
"Bosnia and Herzegovina",2019,"Liberal Democracy",0.347,"V-Dem"
"Bosnia and Herzegovina",2019,"Polarization",0.36,"V-Dem"
"Bosnia and Herzegovina",2020,"Liberal Democracy",0.34,"V-Dem"
"Bosnia and Herzegovina",2020,"Polarization",0.332,"V-Dem"
"Bosnia and Herzegovina",2021,"Liberal Democracy",0.335,"V-Dem"
"Bosnia and Herzegovina",2021,"Polarization",0.326,"V-Dem"
"Bosnia and Herzegovina",2022,"Liberal Democracy",0.344,"V-Dem"
"Bosnia and Herzegovina",2022,"Polarization",0.334,"V-Dem"
"Bosnia and Herzegovina",2023,"Liberal Democracy",0.337,"V-Dem"
"Bosnia and Herzegovina",2023,"Polarization",0.344,"V-Dem"
"Bosnia and Herzegovina",2024,"Liberal Democracy",0.342,"V-Dem"
"Bosnia and Herzegovina",2024,"Polarization",0.343,"V-Dem"
"Cyprus",2010,"Liberal Democracy",0.736,"V-Dem"
"Cyprus",2010,"Polarization",0.753,"V-Dem"
"Cyprus",2011,"Liberal Democracy",0.735,"V-Dem"
"Cyprus",2011,"Polarization",0.749,"V-Dem"
"Cyprus",2012,"Liberal Democracy",0.733,"V-Dem"
"Cyprus",2012,"Polarization",0.752,"V-Dem"
"Cyprus",2013,"Liberal Democracy",0.733,"V-Dem"
"Cyprus",2013,"Polarization",0.729,"V-Dem"
"Cyprus",2014,"Liberal Democracy",0.732,"V-Dem"
"Cyprus",2014,"Polarization",0.729,"V-Dem"
"Cyprus",2015,"Liberal Democracy",0.74,"V-Dem"
"Cyprus",2015,"Polarization",0.739,"V-Dem"
"Cyprus",2016,"Liberal Democracy",0.739,"V-Dem"
"Cyprus",2016,"Polarization",0.736,"V-Dem"
"Cyprus",2017,"Liberal Democracy",0.733,"V-Dem"
"Cyprus",2017,"Polarization",0.707,"V-Dem"
"Cyprus",2018,"Liberal Democracy",0.723,"V-Dem"
"Cyprus",2018,"Polarization",0.722,"V-Dem"
"Cyprus",2019,"Liberal Democracy",0.715,"V-Dem"
"Cyprus",2019,"Polarization",0.713,"V-Dem"
"Cyprus",2020,"Liberal Democracy",0.693,"V-Dem"
"Cyprus",2020,"Polarization",0.634,"V-Dem"
"Cyprus",2021,"Liberal Democracy",0.657,"V-Dem"
"Cyprus",2021,"Polarization",0.659,"V-Dem"
"Cyprus",2022,"Liberal Democracy",0.651,"V-Dem"
"Cyprus",2022,"Polarization",0.645,"V-Dem"
"Cyprus",2023,"Liberal Democracy",0.645,"V-Dem"
"Cyprus",2023,"Polarization",0.655,"V-Dem"
"Cyprus",2024,"Liberal Democracy",0.651,"V-Dem"
"Cyprus",2024,"Polarization",0.645,"V-Dem"
"Denmark",2010,"Liberal Democracy",0.897,"V-Dem"
"Denmark",2010,"Polarization",0.874,"V-Dem"
"Denmark",2011,"Liberal Democracy",0.896,"V-Dem"
"Denmark",2011,"Polarization",0.884,"V-Dem"
"Denmark",2012,"Liberal Democracy",0.897,"V-Dem"
"Denmark",2012,"Polarization",0.884,"V-Dem"
"Denmark",2013,"Liberal Democracy",0.896,"V-Dem"
"Denmark",2013,"Polarization",0.881,"V-Dem"
"Denmark",2014,"Liberal Democracy",0.896,"V-Dem"
"Denmark",2014,"Polarization",0.883,"V-Dem"
"Denmark",2015,"Liberal Democracy",0.896,"V-Dem"
"Denmark",2015,"Polarization",0.882,"V-Dem"
"Denmark",2016,"Liberal Democracy",0.894,"V-Dem"
"Denmark",2016,"Polarization",0.881,"V-Dem"
"Denmark",2017,"Liberal Democracy",0.893,"V-Dem"
"Denmark",2017,"Polarization",0.88,"V-Dem"
"Denmark",2018,"Liberal Democracy",0.893,"V-Dem"
"Denmark",2018,"Polarization",0.877,"V-Dem"
"Denmark",2019,"Liberal Democracy",0.889,"V-Dem"
"Denmark",2019,"Polarization",0.876,"V-Dem"
"Denmark",2020,"Liberal Democracy",0.886,"V-Dem"
"Denmark",2020,"Polarization",0.883,"V-Dem"
"Denmark",2021,"Liberal Democracy",0.887,"V-Dem"
"Denmark",2021,"Polarization",0.878,"V-Dem"
"Denmark",2022,"Liberal Democracy",0.89,"V-Dem"
"Denmark",2022,"Polarization",0.879,"V-Dem"
"Denmark",2023,"Liberal Democracy",0.884,"V-Dem"
"Denmark",2023,"Polarization",0.873,"V-Dem"
"Denmark",2024,"Liberal Democracy",0.883,"V-Dem"
"Denmark",2024,"Polarization",0.874,"V-Dem"
